response,group
5.978827049247833,control
4.9673223413005285,control
6.977442588529758,control
6.326354277092096,control
5.481780511935485,control
6.033896477052906,control
5.877875910952041,control
5.546490911868553,control
5.273811658297016,control
4.380575683414102,control
5.428629935043338,control
6.84093438364481,control
5.747521255693197,control
5.861117550158427,control
4.0379675645488735,control
6.896403860523904,control
6.230047963350517,control
5.521921370243703,control
6.3442623553246635,control
5.9830341321329445,control
4.619286458710544,control
5.728799692929723,control
7.513141744642871,control
5.00556936466219,treat
5.88775945988715,treat
5.948648089540748,treat
8.19257715373625,treat
6.500629267997491,treat
6.327581989995009,treat
7.179346003943028,treat
5.5396326952801465,treat
6.848975572688056,treat
5.9411001469808635,treat
4.2494626374905575,treat
6.5676487413617854,treat
5.871430578166095,treat
5.626098768060793,treat
5.995297535945127,treat
8.360782812193156,treat
6.378319180901365,treat
6.700585966358242,treat
5.623998602752479,treat
5.435493835301001,treat
5.136301088740461,treat
5.027275222743352,treat
8.983404475459437,treat
7.5088747326362775,treat
8.159738579201408,treat
6.5266204384882585,treat
5.637550473858712,treat
