response,group
5.510330334814776,control
8.374078489438359,control
7.3056755095217465,control
6.61767627671896,control
4.913839691809426,control
7.500166372528263,control
5.239192283602447,control
6.381655624235195,control
6.743992316292543,control
6.67101031148002,control
5.053968335829108,control
5.614575047334198,control
6.724995689515782,control
6.027530599681473,control
6.72986621028667,control
8.35467364445017,control
6.673240879504085,control
6.5565477624398865,control
7.907981934570516,control
6.357215604199899,control
7.3439208700654195,control
7.362166203400986,control
5.811275938845002,control
3.6610454489390234,treat
6.118094059686657,treat
5.8771141429910285,treat
6.437117384955059,treat
4.935553156956615,treat
7.378781198261569,treat
7.859482485555406,treat
7.591645652425296,treat
5.764693434780325,treat
5.794512223511337,treat
5.170236569019737,treat
7.110506936019547,treat
6.130839019208132,treat
7.247866024962526,treat
6.799987703423889,treat
5.283387292143976,treat
5.104661810995849,treat
6.8904531294335145,treat
6.2706546519256445,treat
7.407530976874141,treat
5.226451685279697,treat
6.5768665692610035,treat
