response,group
4.23320811463632,control
3.6182363046582324,control
5.586311731993337,control
6.443247281895028,control
4.778115819988841,control
6.323988060956791,control
4.981071389678949,control
5.439450753264419,control
5.672570557582028,control
5.034066473276435,control
5.274284066895728,control
4.727645816168375,control
2.8683688397888587,control
4.188425540250135,control
5.308751126429133,control
5.723451143606435,control
4.223486634642748,control
5.203003905728935,control
3.811006637469795,control
3.626605149265531,control
5.0142956426128515,control
5.71744109669221,control
4.600515362925992,control
5.757948929607237,control
5.745975637405215,control
3.9410623500806814,treat
4.538176006267277,treat
4.1683421038121855,treat
5.275570432851245,treat
5.209561364617526,treat
6.683466499559348,treat
5.408666692744723,treat
4.644069150861748,treat
6.366048218513962,treat
5.672822158872203,treat
4.690239582966997,treat
6.270022492149289,treat
5.0894121581545,treat
5.302599119150171,treat
5.9147939861506496,treat
5.334480427607298,treat
5.246230378147298,treat
5.175525752206144,treat
7.430017923221773,treat
3.9543368464373745,treat
6.909145563060772,treat
4.293806396109634,treat
