response,group
2.947755334361588,control
5.806068064839582,control
7.947428015477438,control
4.834076213369758,control
5.563388701091248,control
4.5095946705145415,control
4.158768460160767,control
4.6221758664833015,control
6.7140382472684355,control
5.226555049693204,control
4.63030771791055,control
6.0634504185467595,control
4.98109907898976,control
6.3816552852935065,control
6.142296922847812,control
4.317781891827671,control
5.883723321476048,control
4.829294110909669,control
5.315034076791121,control
5.982250659240382,control
3.6977460543198415,control
5.726256625861932,control
4.032030346347072,control
6.368825028282423,control
6.232981564781811,control
5.046869131603733,control
4.875254055352487,control
6.169144415409175,control
3.6553588918801614,control
3.9247975934723325,control
5.5865735925303905,treat
6.617443852825254,treat
9.204904266395236,treat
6.4808244861036925,treat
5.86668886019734,treat
6.475188319287659,treat
6.686680114462203,treat
7.55147892703773,treat
8.333265070923783,treat
5.3191431805028575,treat
7.062158683947537,treat
6.4093707351613975,treat
7.526063898207707,treat
6.957179871804641,treat
7.959767717036241,treat
6.5299200393450665,treat
6.0447655617266145,treat
5.32283182943414,treat
5.9105748920218595,treat
6.484810418233779,treat
