response,group
7.4173061044210264,control
5.675843569802402,control
5.25736356814903,control
7.693589321680593,control
5.585295550173092,control
6.502041641465963,control
5.547151218255752,control
6.366832957333105,control
7.059346319421886,control
6.841319514123887,control
7.117045421017968,control
8.328375889824514,control
6.434936729685208,control
6.296375683291505,control
5.579505186230495,control
6.964443185342594,control
6.343301097640277,control
5.854519763304048,control
6.19961880114624,control
7.374562397000193,control
6.340904121062379,control
6.551077884122034,control
7.832520213544009,treat
7.63845723777644,treat
6.960920967236937,treat
6.801614926410873,treat
8.49868127339604,treat
5.719552084554637,treat
7.807536674131718,treat
9.092710553350061,treat
7.3427842110020745,treat
7.539746593092004,treat
7.097975815676297,treat
6.719526173070577,treat
6.98874860952417,treat
7.287030815323142,treat
8.645730883991511,treat
9.431954162129383,treat
8.46848367541218,treat
7.053792924969431,treat
7.853537056442153,treat
8.167358056314155,treat
8.226614476646784,treat
8.742293751886342,treat
7.286090345636962,treat
7.977444089584464,treat
