response,group
7.008435724061508,control
5.128458115800843,control
5.7625938790867455,control
7.4711351960852275,control
6.442576804083273,control
7.567425552196511,control
4.74222334582029,control
4.872647077857463,control
5.619998091090735,control
6.0768129027147495,control
4.899980953735256,control
5.917042101843061,control
4.968671400495465,control
6.814474478769047,control
5.7520780779186165,control
3.657797090073144,control
6.424828392065335,control
5.271362961689578,control
6.17716706210243,control
7.712701489232213,control
4.028016833967396,control
4.021832409781205,control
5.947543580666464,control
6.76377187053595,treat
6.734834809286256,treat
7.256152841012881,treat
5.117262158537679,treat
6.35100509300762,treat
5.446486870750076,treat
5.92508158855376,treat
7.243324362241365,treat
4.834886048573215,treat
5.625873242141233,treat
6.89763737404091,treat
7.6627052123252994,treat
6.121989718487562,treat
3.8313008176483883,treat
6.1661677667077255,treat
6.608672697308817,treat
6.584490287745972,treat
6.747407076945828,treat
4.533760768648894,treat
5.809773555709704,treat
5.5711271493892065,treat
5.334394960832286,treat
5.462356923029986,treat
5.7908543060068425,treat
