response,group
8.579463169413536,control
7.708963945121105,control
6.851308191707664,control
5.438806264221203,control
7.227425106078445,control
7.712614803233991,control
7.680228710323825,control
8.68077655413862,control
6.73753480572173,control
8.53519077379573,control
7.169261313671534,control
8.09474311233251,control
6.9152201422567,control
8.195901042105774,control
8.598815884138912,control
8.095645704346245,control
7.640669653544162,control
7.460271537870662,control
6.814495925193949,control
7.918587020605577,control
6.988408640569294,control
7.806729970088475,control
8.000335522565056,control
8.119364638238322,control
7.05222171991221,control
9.330344766082604,control
7.800833826097828,control
7.617351837072576,control
7.7659324447059594,control
5.434737075149929,treat
6.1261897482633065,treat
6.599809061326179,treat
5.273549883383655,treat
4.200922424844609,treat
6.793294772733707,treat
4.854182814549752,treat
3.3767312511709164,treat
4.678211524342178,treat
4.802578208927427,treat
4.870658703774193,treat
5.745789383331107,treat
4.828667153565676,treat
7.025906503327011,treat
6.507330743949636,treat
5.280737305165732,treat
6.071213162765025,treat
5.257305522970891,treat
5.138063013424596,treat
5.930175524787833,treat
6.197627806174516,treat
5.898242365305235,treat
4.30084861317704,treat
4.650191979062885,treat
6.032962709100774,treat
4.158240911630573,treat
4.437143479918827,treat
5.291545781243346,treat
