response,group
7.86858109696098,control
6.144562475078783,control
7.465554001164045,control
6.990111420899276,control
5.460610006556477,control
5.082692205304216,control
7.049675853391583,control
5.3002473650311765,control
6.598668608832021,control
7.601636182222595,control
7.077969498887735,control
6.42144095287175,control
6.304094433605657,control
7.03615993678743,control
6.31015963647278,control
7.470126377529724,control
5.554268076187472,control
8.111249903343209,control
6.8983678424587636,control
6.817268944018631,control
7.264982393543604,control
7.230487082159981,treat
8.149271952204524,treat
7.489267676493788,treat
7.148660258801695,treat
9.07358948663816,treat
9.037699891207708,treat
8.213193315405128,treat
7.501199341192358,treat
6.584000851162563,treat
9.016133979633475,treat
8.662219491105049,treat
7.569857548434248,treat
9.798957671965255,treat
7.270852836798607,treat
8.63417677589559,treat
8.793277423258324,treat
9.15209183021039,treat
9.641432145685455,treat
8.414958723880705,treat
8.21179403266865,treat
8.08944202610231,treat
8.742242080616435,treat
8.950043689534393,treat
6.876239639157745,treat
