response,group
5.659318759096249,control
7.222836097116878,control
6.18921951776234,control
6.200176330821589,control
6.021922649207055,control
6.809441947691572,control
6.969703552164935,control
6.103338355618555,control
6.223189388329978,control
7.2750082959099815,control
6.692191324364467,control
4.569965444749133,control
6.416880451167826,control
4.009485787552826,control
6.124641435329795,control
6.154978883379693,control
5.377817566183267,control
5.152933491518341,control
6.0858792476352725,control
5.059008041336708,control
7.188301912449923,control
5.950576873602451,control
5.52139477120519,control
5.014895068559643,control
5.264267373637818,control
6.460696529875137,control
6.396581506032577,control
6.202541452203585,treat
7.8465927064607195,treat
5.775133941075771,treat
6.448312874873422,treat
5.165536416112119,treat
5.793525882460657,treat
6.388017084561538,treat
6.459487316305128,treat
6.703515130361268,treat
4.933971919899085,treat
6.399628269083751,treat
6.440958663282219,treat
7.227485844804818,treat
6.519105850097508,treat
5.715917682484121,treat
6.653113094282433,treat
5.285853580550232,treat
5.037339367610865,treat
5.223091769808186,treat
6.454684534366965,treat
5.312267799861455,treat
6.707580254808572,treat
5.406936422054581,treat
