response,group
5.592456314927121,control
7.083356764450015,control
6.370250941654094,control
6.208871770406237,control
6.848955618651388,control
8.231279000183529,control
7.227903744386699,control
7.0362703849992485,control
6.2166538080791085,control
6.717357036741589,control
5.748489362395788,control
6.711340393925214,control
7.556503518662072,control
6.5233590342982914,control
6.093782852219031,control
6.049276343946483,control
6.201162628879354,control
7.194616481369921,control
5.412700553233756,control
8.584938209139137,control
5.7311451900355355,control
8.231816799400088,control
6.041328477599221,treat
7.660471863873477,treat
5.565045702267766,treat
8.051756436491777,treat
6.9561308829073445,treat
6.147001894175816,treat
6.949791628522377,treat
6.82443979021335,treat
6.96813468594146,treat
6.236801957887726,treat
5.760387523633762,treat
6.220443023831277,treat
7.375355401636648,treat
6.398511588934347,treat
5.721829232057124,treat
5.7588817592581165,treat
5.640102055827602,treat
7.205650884949142,treat
4.90714323675143,treat
5.6880744608141365,treat
4.2639396305447725,treat
5.9450778792382515,treat
5.4348256883955255,treat
4.673284870096232,treat
7.805810070559774,treat
6.045352912025779,treat
